lang;OK;WRONG
zh-Hans;8753;0
ko-KR;20101;1377
af-ZA;18453;1449
ar-SA;28914;3363
bg-BG;17324;1108
cs-CZ;21466;178
da-DK;16630;842
de-DE;16535;2137
el-GR;19775;708
en-GB;18051;170
es-ES;17426;209
et-EE;20757;694
fa-IR;9061;4558
fi-FI;20202;339
fr-FR;15217;217
he-IL;20925;502
hi-IN;10931;6148
hr-HR;21888;1340
hu-HU;21057;595
id-ID;10241;709
is-IS;17492;3423
it-IT;17308;132
ja-JP;15081;0
lt-LT;22069;812
lv-LV;22910;749
ms-MY;11139;1249
nb-NO;18196;388
nl-NL;15712;845
pl-PL;21753;206
pt-BR;14799;433
pt-PT;14231;508
ro-RO;13262;4472
ru-RU;22179;153
sk-SK;20487;508
sl-SI;18656;296
sr-Latn;18339;881
sv-SE;20775;426
th-TH;6428;358
tr-TR;17583;883
uk-UA;23000;632
ur-PK;9318;6196
vi-VN;1065;3552
zh-Hans;8786;0
lt-LT;22545;826
af-ZA;18110;1404
ar-SA;28320;3289
bg-BG;17115;1100
cs-CZ;21183;171
da-DK;16387;819
de-DE;16335;2116
el-GR;19446;680
en-GB;17621;157
es-ES;17143;198
et-EE;20439;681
fa-IR;8979;4408
fi-FI;19908;328
fr-FR;15063;214
he-IL;20529;494
hi-IN;10715;5913
hr-HR;21489;1289
hu-HU;20648;581
id-ID;10163;698
is-IS;17107;3340
it-IT;17085;128
ja-JP;14848;0
ko-KR;19304;1297
lv-LV;22626;737
ms-MY;10987;1224
nb-NO;17861;376
nl-NL;15587;817
pl-PL;21569;203
pt-BR;14634;418
pt-PT;14081;498
ro-RO;13075;4363
ru-RU;21888;148
sk-SK;20243;496
sl-SI;18491;293
sr-Latn;18117;865
sv-SE;20300;416
th-TH;6363;348
tr-TR;17310;858
uk-UA;22642;610
ur-PK;9240;6040
vi-VN;1057;3531
zh-Hans;8683;0
lv-LV;23518;772
af-ZA;18228;1421
ar-SA;28479;3311
bg-BG;17169;1096
cs-CZ;21291;166
da-DK;16464;834
de-DE;16459;2113
el-GR;19606;694
en-GB;17692;151
es-ES;17297;194
et-EE;20594;674
fa-IR;9018;4447
fi-FI;19967;331
fr-FR;15116;211
he-IL;20701;481
hi-IN;10814;5989
hr-HR;21727;1292
hu-HU;20866;589
id-ID;10188;701
is-IS;17264;3362
it-IT;17195;124
ja-JP;14892;0
ko-KR;19466;1294
lt-LT;21985;787
ms-MY;11037;1232
nb-NO;18027;378
nl-NL;15649;818
pl-PL;21643;201
pt-BR;14669;411
pt-PT;14130;504
ro-RO;13122;4398
ru-RU;22060;145
sk-SK;20348;490
sl-SI;18571;284
sr-Latn;18236;866
sv-SE;20491;410
th-TH;6354;350
tr-TR;17413;857
uk-UA;22838;624
ur-PK;9276;6070
vi-VN;1063;3527
zh-Hans;8710;0
ms-MY;11231;1264
af-ZA;17741;1393
ar-SA;27786;3243
bg-BG;16750;1065
cs-CZ;20537;166
da-DK;15977;806
de-DE;16038;2084
el-GR;19010;674
en-GB;17375;151
es-ES;16778;196
et-EE;19967;663
fa-IR;8894;4388
fi-FI;19459;316
fr-FR;14809;214
he-IL;20185;482
hi-IN;10570;5781
hr-HR;20906;1233
hu-HU;20149;558
id-ID;10101;683
is-IS;16652;3259
it-IT;16662;130
ja-JP;14622;0
ko-KR;18991;1277
lt-LT;21044;765
lv-LV;21799;703
nb-NO;17362;378
nl-NL;15258;796
pl-PL;20935;197
pt-BR;14414;411
pt-PT;13852;492
ro-RO;12837;4283
ru-RU;21331;153
sk-SK;19731;499
sl-SI;18107;287
sr-Latn;17804;852
sv-SE;19760;399
th-TH;6328;342
tr-TR;16871;828
uk-UA;21921;592
ur-PK;9137;5978
vi-VN;1056;3513
zh-Hans;8580;0
nb-NO;18761;407
af-ZA;18406;1423
ar-SA;28571;3306
bg-BG;17181;1097
cs-CZ;21305;174
da-DK;16672;827
de-DE;16492;2118
el-GR;19596;700
en-GB;17860;154
es-ES;17316;198
et-EE;20602;686
fa-IR;9023;4488
fi-FI;20007;322
fr-FR;15144;215
he-IL;20744;491
hi-IN;10826;6035
hr-HR;21674;1288
hu-HU;20898;584
id-ID;10175;693
is-IS;17340;3370
it-IT;17227;124
ja-JP;14896;0
ko-KR;19558;1304
lt-LT;21904;775
lv-LV;22747;747
ms-MY;11059;1231
nl-NL;15686;829
pl-PL;21638;201
pt-BR;14684;400
pt-PT;14135;506
ro-RO;13191;4435
ru-RU;21963;150
sk-SK;20372;497
sl-SI;18541;291
sr-Latn;18212;870
sv-SE;20756;416
th-TH;6384;355
tr-TR;17440;853
uk-UA;22801;604
ur-PK;9271;6099
vi-VN;1062;3531
zh-Hans;8731;0
nl-NL;15926;856
af-ZA;18176;1396
ar-SA;28177;3253
bg-BG;17009;1086
cs-CZ;20860;171
da-DK;16286;814
de-DE;16400;2117
el-GR;19235;687
en-GB;17592;152
es-ES;16963;200
et-EE;20289;672
fa-IR;8968;4390
fi-FI;19717;327
fr-FR;15013;210
he-IL;20412;495
hi-IN;10669;5745
hr-HR;21210;1281
hu-HU;20497;574
id-ID;10144;694
is-IS;17010;3320
it-IT;16983;124
ja-JP;14797;0
ko-KR;19183;1307
lt-LT;21444;777
lv-LV;22100;727
ms-MY;10991;1235
nb-NO;17737;368
pl-PL;21305;201
pt-BR;14589;410
pt-PT;14043;493
ro-RO;13065;4354
ru-RU;21584;152
sk-SK;19981;494
sl-SI;18357;289
sr-Latn;18014;872
sv-SE;20062;407
th-TH;6352;334
tr-TR;17082;840
uk-UA;22297;566
ur-PK;9226;6023
vi-VN;1060;3511
zh-Hans;8682;0
pl-PL;22169;210
af-ZA;18145;1395
ar-SA;28448;3312
bg-BG;17155;1097
cs-CZ;21202;175
da-DK;16396;820
de-DE;16396;2115
el-GR;19519;687
en-GB;17850;155
es-ES;17235;195
et-EE;20481;680
fa-IR;9004;4466
fi-FI;19952;326
fr-FR;15124;214
he-IL;20635;495
hi-IN;10741;5959
hr-HR;21537;1285
hu-HU;20756;583
id-ID;10167;697
is-IS;17139;3337
it-IT;17127;126
ja-JP;14873;0
ko-KR;19402;1291
lt-LT;21800;790
lv-LV;22573;731
ms-MY;11023;1220
nb-NO;17923;380
nl-NL;15593;819
pt-BR;14686;422
pt-PT;14152;506
ro-RO;13113;4394
ru-RU;21947;144
sk-SK;20302;494
sl-SI;18535;290
sr-Latn;18191;868
sv-SE;20379;406
th-TH;6374;345
tr-TR;17259;845
uk-UA;22635;598
ur-PK;9243;6060
vi-VN;1058;3530
zh-Hans;8689;0
pt-BR;14916;443
af-ZA;17627;1351
ar-SA;27570;3202
bg-BG;16767;1046
cs-CZ;20421;160
da-DK;15907;795
de-DE;15931;2065
el-GR;18913;657
en-GB;17638;157
es-ES;17047;186
et-EE;19843;660
fa-IR;8896;4266
fi-FI;19415;318
fr-FR;14954;205
he-IL;20074;479
hi-IN;10483;5755
hr-HR;20772;1218
hu-HU;20055;564
id-ID;10008;683
is-IS;16630;3195
it-IT;16862;125
ja-JP;14496;0
ko-KR;18805;1231
lt-LT;20901;750
lv-LV;21654;683
ms-MY;10766;1202
nb-NO;17249;352
nl-NL;15217;804
pl-PL;20829;192
pt-PT;14309;510
ro-RO;12846;4295
ru-RU;21137;145
sk-SK;19651;487
sl-SI;18088;281
sr-Latn;17766;840
sv-SE;19697;397
th-TH;6270;341
tr-TR;16784;811
uk-UA;21730;587
ur-PK;9092;5913
vi-VN;1055;3482
zh-Hans;8512;0
pt-PT;14345;514
af-ZA;17232;1188
ar-SA;26940;3076
bg-BG;16381;990
cs-CZ;19891;136
da-DK;15555;737
de-DE;15559;1895
el-GR;18484;618
en-GB;17182;143
es-ES;16654;166
et-EE;19273;608
fa-IR;8772;4163
fi-FI;19036;299
fr-FR;14607;185
he-IL;19545;452
hi-IN;10365;5539
hr-HR;20255;1149
hu-HU;19501;532
id-ID;9787;641
is-IS;16565;3197
it-IT;16488;104
ja-JP;14142;0
ko-KR;18424;1187
lt-LT;20375;693
lv-LV;21087;626
ms-MY;10594;1129
nb-NO;16911;329
nl-NL;14818;762
pl-PL;20312;166
pt-BR;14528;344
ro-RO;12810;4266
ru-RU;20671;134
sk-SK;18972;441
sl-SI;17582;260
sr-Latn;17329;801
sv-SE;19279;360
th-TH;6147;322
tr-TR;16366;783
uk-UA;21153;546
ur-PK;8969;5755
vi-VN;1043;3443
zh-Hans;8346;0
ro-RO;13416;4572
af-ZA;17685;1232
ar-SA;27610;3182
bg-BG;16663;1034
cs-CZ;20506;155
da-DK;15973;762
de-DE;15957;1909
el-GR;18947;641
en-GB;17331;135
es-ES;16853;180
et-EE;19761;619
fa-IR;8836;4279
fi-FI;19405;295
fr-FR;14816;191
he-IL;19987;466
hi-IN;10614;5695
hr-HR;20841;1208
hu-HU;20026;541
id-ID;9965;641
is-IS;17057;3288
it-IT;16742;110
ja-JP;14484;0
ko-KR;18942;1231
lt-LT;21033;737
lv-LV;21889;667
ms-MY;10842;1144
nb-NO;17530;348
nl-NL;15151;782
pl-PL;20811;175
pt-BR;14316;349
pt-PT;14046;495
ru-RU;21162;136
sk-SK;19474;465
sl-SI;17875;268
sr-Latn;17667;835
sv-SE;19825;386
th-TH;6213;326
tr-TR;16814;812
uk-UA;21907;550
ur-PK;9072;5852
vi-VN;1046;3480
zh-Hans;8509;0
ru-RU;22508;158
af-ZA;18257;1421
ar-SA;28616;3323
bg-BG;17244;1101
cs-CZ;21296;179
da-DK;16462;844
de-DE;16450;2122
el-GR;19567;696
en-GB;17866;161
es-ES;17272;202
et-EE;20625;684
fa-IR;9017;4479
fi-FI;20068;331
fr-FR;15201;213
he-IL;20709;500
hi-IN;10793;5982
hr-HR;21613;1301
hu-HU;20854;586
id-ID;10197;703
is-IS;17268;3400
it-IT;17214;124
ja-JP;14954;0
ko-KR;19519;1321
lt-LT;21935;797
lv-LV;22757;741
ms-MY;11054;1236
nb-NO;17978;374
nl-NL;15645;821
pl-PL;21711;202
pt-BR;14725;421
pt-PT;14170;503
ro-RO;13144;4414
sk-SK;20348;503
sl-SI;18606;289
sr-Latn;18246;883
sv-SE;20483;410
th-TH;6381;355
tr-TR;17397;862
uk-UA;22891;627
ur-PK;9285;6115
vi-VN;1061;3540
zh-Hans;8721;0
sk-SK;20830;518
af-ZA;18051;1404
ar-SA;28308;3274
bg-BG;17101;1085
cs-CZ;21525;177
da-DK;16323;823
de-DE;16352;2113
el-GR;19414;696
en-GB;17658;157
es-ES;17111;204
et-EE;20403;674
fa-IR;8969;4431
fi-FI;19860;331
fr-FR;15065;211
he-IL;20508;494
hi-IN;10667;5923
hr-HR;21411;1289
hu-HU;20666;579
id-ID;10156;697
is-IS;17051;3318
it-IT;17049;126
ja-JP;14799;0
ko-KR;19271;1305
lt-LT;21581;786
lv-LV;22393;726
ms-MY;10993;1230
nb-NO;17770;374
nl-NL;15523;817
pl-PL;21450;201
pt-BR;14620;427
pt-PT;14084;501
ro-RO;13031;4386
ru-RU;21816;153
sl-SI;18481;292
sr-Latn;18123;878
sv-SE;20185;416
th-TH;6355;351
tr-TR;17198;835
uk-UA;22459;608
ur-PK;9241;6051
vi-VN;1063;3529
zh-Hans;8659;0
sl-SI;18835;298
af-ZA;17894;1399
ar-SA;28060;3267
bg-BG;16973;1077
cs-CZ;20910;166
da-DK;16082;817
de-DE;16233;2096
el-GR;19240;690
en-GB;17569;152
es-ES;16965;203
et-EE;20292;668
fa-IR;8957;4388
fi-FI;19689;322
fr-FR;14971;207
he-IL;20305;484
hi-IN;10577;5800
hr-HR;21200;1262
hu-HU;20483;574
id-ID;10113;685
is-IS;16886;3271
it-IT;16916;126
ja-JP;14740;0
ko-KR;19109;1287
lt-LT;21400;763
lv-LV;22116;713
ms-MY;10924;1216
nb-NO;17419;365
nl-NL;15471;807
pl-PL;21272;196
pt-BR;14571;407
pt-PT;14029;498
ro-RO;12957;4320
ru-RU;21600;147
sk-SK;19997;494
sr-Latn;18047;861
sv-SE;19922;405
th-TH;6336;347
tr-TR;17043;836
uk-UA;22201;607
ur-PK;9191;5998
vi-VN;1058;3505
zh-Hans;8631;0
sr-Latn;18498;897
af-ZA;17931;1401
ar-SA;27966;3279
bg-BG;17023;1080
cs-CZ;20888;170
da-DK;16188;821
de-DE;16213;2097
el-GR;19217;669
en-GB;17633;154
es-ES;16981;200
et-EE;20216;665
fa-IR;8947;4394
fi-FI;19708;321
fr-FR;14965;207
he-IL;20344;496
hi-IN;10567;5814
hr-HR;21313;1264
hu-HU;20440;572
id-ID;10092;694
is-IS;16926;3300
it-IT;16913;127
ja-JP;14681;0
ko-KR;19141;1277
lt-LT;21346;770
lv-LV;22132;721
ms-MY;10946;1221
nb-NO;17607;373
nl-NL;15411;803
pl-PL;21246;198
pt-BR;14579;419
pt-PT;14036;502
ro-RO;12988;4330
ru-RU;21580;153
sk-SK;20024;496
sl-SI;18409;290
sv-SE;20021;402
th-TH;6356;341
tr-TR;17048;827
uk-UA;22167;606
ur-PK;9200;6020
vi-VN;1055;3518
zh-Hans;8615;0
sv-SE;21438;432
af-ZA;18446;1429
ar-SA;28646;3329
bg-BG;17187;1100
cs-CZ;21387;173
da-DK;16657;846
de-DE;16505;2126
el-GR;19726;693
en-GB;18056;155
es-ES;17396;198
et-EE;20674;687
fa-IR;9032;4495
fi-FI;20096;329
fr-FR;15206;213
he-IL;20778;494
hi-IN;10838;6087
hr-HR;21796;1319
hu-HU;20961;596
id-ID;10199;705
is-IS;17407;3377
it-IT;17294;133
ja-JP;14925;0
ko-KR;19603;1309
lt-LT;21946;799
lv-LV;22826;743
ms-MY;11070;1234
nb-NO;18320;388
nl-NL;15724;830
pl-PL;21694;207
pt-BR;14760;425
pt-PT;14212;509
ro-RO;13206;4448
ru-RU;22013;151
sk-SK;20389;505
sl-SI;18556;292
sr-Latn;18211;873
th-TH;6378;349
tr-TR;17520;868
uk-UA;22846;621
ur-PK;9288;6130
vi-VN;1062;3539
zh-Hans;8736;0
th-TH;6462;360
af-ZA;18344;1426
ar-SA;28591;3346
bg-BG;17216;1098
cs-CZ;21288;174
da-DK;16466;839
de-DE;16403;2113
el-GR;19608;691
en-GB;17839;155
es-ES;17301;200
et-EE;20595;687
fa-IR;9026;4503
fi-FI;20069;325
fr-FR;15139;219
he-IL;20726;501
hi-IN;10884;6094
hr-HR;21690;1299
hu-HU;20771;580
id-ID;10212;707
is-IS;17295;3404
it-IT;17167;129
ja-JP;14948;0
ko-KR;19608;1319
lt-LT;21835;785
lv-LV;22642;744
ms-MY;11085;1243
nb-NO;18054;381
nl-NL;15634;818
pl-PL;21585;202
pt-BR;14704;423
pt-PT;14135;503
ro-RO;13143;4441
ru-RU;21901;156
sk-SK;20348;511
sl-SI;18495;295
sr-Latn;18215;875
sv-SE;20546;418
tr-TR;17402;858
uk-UA;22724;621
ur-PK;9305;6144
vi-VN;1062;3537
zh-Hans;8739;0
tr-TR;17933;908
af-ZA;17969;1417
ar-SA;28257;3303
bg-BG;17002;1078
cs-CZ;20975;178
da-DK;16268;808
de-DE;16211;2112
el-GR;19432;699
en-GB;17492;159
es-ES;17112;199
et-EE;20337;683
fa-IR;8990;4402
fi-FI;19802;332
fr-FR;14971;214
he-IL;20467;495
hi-IN;10695;5965
hr-HR;21309;1280
hu-HU;20561;582
id-ID;10103;697
is-IS;17068;3326
it-IT;16949;119
ja-JP;14798;0
ko-KR;19274;1276
lt-LT;21561;784
lv-LV;22338;732
ms-MY;10933;1231
nb-NO;17803;376
nl-NL;15437;812
pl-PL;21269;198
pt-BR;14535;414
pt-PT;13999;494
ro-RO;12972;4336
ru-RU;21657;151
sk-SK;20071;500
sl-SI;18321;290
sr-Latn;18011;861
sv-SE;20188;412
th-TH;6360;348
uk-UA;22401;601
ur-PK;9220;6038
vi-VN;1057;3529
zh-Hans;8650;0
uk-UA;23561;647
af-ZA;18153;1431
ar-SA;28428;3303
bg-BG;17152;1109
cs-CZ;21174;177
da-DK;16358;825
de-DE;16383;2112
el-GR;19486;692
en-GB;17695;152
es-ES;17182;200
et-EE;20503;678
fa-IR;8990;4444
fi-FI;19896;327
fr-FR;15072;213
he-IL;20614;496
hi-IN;10731;5972
hr-HR;21530;1284
hu-HU;20700;591
id-ID;10170;702
is-IS;17148;3358
it-IT;17116;123
ja-JP;14855;0
ko-KR;19389;1310
lt-LT;21750;785
lv-LV;22667;732
ms-MY;11029;1226
nb-NO;17873;381
nl-NL;15551;816
pl-PL;21536;202
pt-BR;14639;423
pt-PT;14073;497
ro-RO;13064;4383
ru-RU;22029;154
sk-SK;20221;502
sl-SI;18475;293
sr-Latn;18181;875
sv-SE;20314;404
th-TH;6374;348
tr-TR;17265;847
ur-PK;9266;6073
vi-VN;1062;3550
zh-Hans;8695;0
ur-PK;9399;6275
af-ZA;18648;1461
ar-SA;29001;3386
bg-BG;17385;1113
cs-CZ;21597;178
da-DK;16710;846
de-DE;16608;2139
el-GR;19893;708
en-GB;18093;160
es-ES;17583;209
et-EE;20874;690
fa-IR;9081;4593
fi-FI;20282;334
fr-FR;15290;220
he-IL;21057;507
hi-IN;11014;6223
hr-HR;22110;1343
hu-HU;21142;599
id-ID;10263;710
is-IS;17604;3452
it-IT;17428;133
ja-JP;15097;0
ko-KR;19901;1345
lt-LT;22280;803
lv-LV;23112;751
ms-MY;11179;1254
nb-NO;18415;399
nl-NL;15800;839
pl-PL;21926;209
pt-BR;14807;429
pt-PT;14244;510
ro-RO;13299;4507
ru-RU;22247;157
sk-SK;20612;511
sl-SI;18709;295
sr-Latn;18400;886
sv-SE;21039;425
th-TH;6430;357
tr-TR;17682;882
uk-UA;23207;631
vi-VN;1067;3570
zh-Hans;8800;0
vi-VN;1065;3570
af-ZA;18320;1441
ar-SA;28451;3329
bg-BG;17184;1092
cs-CZ;21196;171
da-DK;16372;842
de-DE;16427;2122
el-GR;19513;687
en-GB;17775;156
es-ES;17222;204
et-EE;20556;685
fa-IR;9021;4508
fi-FI;19972;327
fr-FR;15120;216
he-IL;20701;497
hi-IN;10833;6007
hr-HR;21608;1328
hu-HU;20741;585
id-ID;10207;705
is-IS;17221;3389
it-IT;17145;129
ja-JP;14921;0
ko-KR;19545;1326
lt-LT;21793;784
lv-LV;22555;738
ms-MY;11076;1244
nb-NO;17973;393
nl-NL;15625;829
pl-PL;21518;203
pt-BR;14660;426
pt-PT;14117;507
ro-RO;13173;4406
ru-RU;21912;157
sk-SK;20262;507
sl-SI;18492;291
sr-Latn;18173;877
sv-SE;20377;419
th-TH;6397;348
tr-TR;17328;863
uk-UA;22714;608
ur-PK;9298;6129
zh-Hans;8736;0
zh-Hans;8857;0
af-ZA;18393;1434
ar-SA;28813;3348
bg-BG;17244;1108
cs-CZ;21367;175
da-DK;16519;828
de-DE;16495;2123
el-GR;19710;703
en-GB;17981;159
es-ES;17405;207
et-EE;20741;685
fa-IR;9052;4555
fi-FI;20145;330
fr-FR;15214;220
he-IL;20864;499
hi-IN;10938;6125
hr-HR;21841;1314
hu-HU;20972;598
id-ID;10218;707
is-IS;17438;3407
it-IT;17285;134
ja-JP;15083;0
ko-KR;19774;1346
lt-LT;21979;798
lv-LV;22808;746
ms-MY;11097;1235
nb-NO;18108;387
nl-NL;15709;836
pl-PL;21747;206
pt-BR;14751;431
pt-PT;14205;509
ro-RO;13207;4453
ru-RU;22103;155
sk-SK;20417;503
sl-SI;18593;295
sr-Latn;18286;877
sv-SE;20634;415
th-TH;6417;348
tr-TR;17532;864
uk-UA;22921;626
ur-PK;9327;6185
vi-VN;1063;3563
